material_id,pretty_formula,diel.poly_total,diel.poly_electronic
mp-555903,Al(IO3)3,8.337935666666674,4.035757000000004
mp-752658,Y2SeO2,14.735277000000002,5.561897666666667
mp-3439,SbPO4,17.19530466666667,3.571911666666667
mp-16135,Sm3NbS3O4,21.59350733333333,6.720196333333331
mp-36447,Al2CoO4,9.507068333333322,3.6195849999999976
mp-29175,Ca2AuN,25.723003333333327,14.506786666666668
mp-42022,Cs2RbZrOF5,22.302043666666666,2.3414606666666664
mp-23205,MgI2,6.717333333314589,3.6733333333333413
mp-643263,Na3VH6O7,7.409833666665667,2.753226333333344
mp-567601,Sr4CN4,18.093621,5.339263666666667
mp-755627,Na2FeO3,13.643241666666666,9.047474333333332
mp-570223,CsGeBr3,11.073192666666666,6.5499079999999985
mp-6305,K3TiO4F3,7.8804989999999995,2.4409549999999993
mp-13538,KPrSiSe4,11.354678666666667,5.297566666666667
mp-23648,Li4Al3Si3ClO12,5.342226333333333,2.434694999999999
mp-34337,H4NCl,7.575755333333333,2.7925019999999994
mp-768863,PrAsO4,10.130103333333327,3.5824216666666633
mp-562100,NbS3,10.256333333333336,9.407333333333334
mp-2815,MoS2,9.757333334519775,9.507666666667209
mp-27300,RbAuBr3,13.484754000008593,6.47791533333334
mp-1020633,RbMgBO3,6.461029999999998,2.543598
mp-1040443,KBaBiTeO6,31.144639333333327,5.427378999999999
mp-607953,FeSeBr7,10.861930333333333,4.756602
mp-697146,Zn(HO)2,5.583763666666666,2.6928856666666667
mp-11265,BaCaSn,39.37133333333333,22.985666666666663
mp-867192,Sr2AsAu,40.660975000000015,22.884528999999954
mp-753149,LiMn(PO3)3,12.736209333328476,2.648631333333348
mp-1205671,Ba2TaFeO6,46.92091999999999,5.513169000000002
mp-2898,Ca(AuO2)2,11.584981000000019,6.737866333333348
mp-644271,LiHS,5.160623,3.0889043333333333
mp-1078709,Na2BiAu,30.588879666666667,20.01236833333333
mp-772232,Tm2P4O13,7.198874333333333,2.749582333333333
mp-774639,Li2MnSiO4,6.947207,2.9632506666666667
mp-35759,Li2NiF4,5.554770000024803,2.136382333333218
mp-760729,Ca2Ga2Si(HO4)2,8.145660000000001,3.030974666666667
mp-758241,LiCrSiO4,9.447646333333333,4.093092666666667
mp-9330,CdPS3,10.226603999998565,5.170112666666662
mp-1207108,BaAlGeH,20.824915333333312,15.04641766666665
mp-6930,SiO2,4.588685333333215,2.42438966666665
mp-1219343,ScCuSe2,21.332842000000003,11.713012
mp-10810,TiAgF6,12.160315333333335,4.012751666666667
mp-24620,MgMoH2O5,6.528781333333335,2.9293053333333336
mp-22439,Li2MoF6,7.190458348641059,2.3958020000987137
mp-684724,FeH4S2NO8,8.21223133332768,3.0832653333333213
mp-752927,LiAgF2,16.27003935086365,3.349774022247398
mp-4163,Ca3Ti2O7,61.460848999999996,5.307461333333333
mp-545544,Ba2TaBiO6,93.31298566666665,5.592117333333323
mp-553281,Ba2LaNbO6,58.56254879300699,4.914533739943491
mp-557881,SiO2,3.2499999999999414,1.9293333333390763
mp-504967,CrP(HO)5,4.864604333333332,2.630228666666666
mp-23843,LiHSeO3,5.532333333333333,2.697999999999999
mp-11924,Rb2TaCuSe4,8.337806000000015,4.459615000000002
mp-558430,BaB2F8,7.5978553944265785,2.014339681600053
mp-1227238,CaBiIO2,23.527263666553367,5.530070333316143
mp-27442,RbCrI3,14.135021999442527,5.1552066666667455
mp-557082,H2O,4.045361419935169,2.1869372824853475
mp-505139,TiH2SO6,31.33656933333333,3.685693333333333
mp-1216623,TlSbWO6,32.28651899999972,4.778567333333334
mp-7534,K2Cd2O3,25.448163666666662,4.993713333333333
mp-1021504,Ba2NbFeO6,62.70668,5.889096999999995
mp-1102430,SbTeIr,27.373902,20.591890000000003
mp-3486,KSnSb,15.682704666653288,12.616454000000028
mp-759495,Cr(PO3)3,6.109311000000001,3.076992666666667
mp-559798,NiF2,5.203666666666665,2.5093333333333327
mp-36526,AcOF,14.536976000000015,3.493105000000009
mp-24018,CaZnAsHO5,12.482973666666666,3.4854319999999994
mp-756365,CaCeO3,25.093801666666668,5.298401666666667
mp-7991,BN,4.520333333328783,3.461333333333334
mp-707249,H24C8S(NO2)2,6.172536666666663,2.287936666666666
mp-31488,Li3NbO4,19.048936666666666,3.964996000000004
mp-758949,Li2VGa3O8,7.510600666666666,3.398448333333333
mp-1247,Sb2Ir,34.619,24.859999999999996
mp-18300,Ca3AlSb3,21.232666666666663,12.522
mp-696752,KP(HO2)2,5.5194399999999995,2.322145
mp-29362,GaCuCl4,5.458531666666666,3.305296
mp-676799,Ag8GeTe6,37.89121666666666,21.51084566666667
mp-28453,CsAuI3,21.049177333738516,8.997380666666665
mp-1960,Li2O,7.265149396461759,2.9216740926899942
mp-22566,TlInS2,49.79684066659417,9.854657000000016
mp-867249,TaAlFe2,65.72487300000004,40.42206600000003
mp-7446,Rb2S3,7.915564333333333,3.7621590000000005
mp-15733,CaTaAlO5,28.985679333325717,3.927619000000027
mp-13703,Al4CO4,6.252851,3.3186056666666643
mp-38725,NaBH4,8.458432999999998,2.511353
mp-672204,Ga3Ru,38.54842032470322,20.9265981755661
mp-689925,Cs2NiF6,5.045738783738417,2.2580400064237374
mp-22170,Li4PbO4,8.760171333333124,4.014946666666554
mp-571324,CNCl,2.7800000000113343,2.5353333333459624
mp-1029442,Mg2TaN3,9.732756666666667,5.258663000000001
mp-23329,Bi2WO6,45.475285666666416,6.2973936666666175
mp-555731,SrGeO3,11.598213666679973,3.141507999999986
mp-690785,Na2H6Pt,7.505326000000001,3.233763999999999
mp-30952,GaCl3,3.3620000002083756,2.352333333176213
mp-13099,YN,12.092926666926994,6.567707999999906
mp-27782,XeIF7,3.803873333333293,2.333068999999986
mp-1029337,Zr2SeN2,26.49059900000077,10.88286766666667
mp-1191189,Cd2Sb2O7,14.659797000000003,4.931841999999996
mp-961713,ZrSnPt,21.537333333251766,17.477000000001386
mp-1176418,Na2BiAsCO7,8.744164333333334,3.083762333333333
mp-12422,CoHgC4(SeN)4,6.5250496666469076,4.845174000000003
mp-773137,KCaBi,14.749939333333336,7.329725
mp-555321,BaNiF4,24.571839999999998,2.49868
mp-1105094,TlHgCl3,19.988915333333335,3.6487079999999996
mp-770632,Li3CrO4,7.600916333333333,3.4178529999999996
mp-1027525,MoS2,43.98103166678728,7.274040000122942
mp-13033,MgTe,7.972329666666664,5.506010999999998
mvc-4323,SnO2,7.333233686496427,3.6481279047291877
mp-559931,VF3,6.406333332352953,2.689666666668435
mp-760502,LiH2ClO,12.403333333333334,2.6183333333333336
mp-979264,Te6RhCl3,22.10950900000007,7.238251000000005
mp-35269,Ca4Sb2S,40.30317366666666,9.370382666666666
mp-23558,Ag2BiO3,26.531189,12.944955
mp-7670,K2Se3,10.000275333333333,6.8190356666666645
mp-573763,Cs2Te,10.174360666666667,4.086015
